ICAO,Station Name, State, Latitude, Longitude, Altitude, Winds Aloft,   Surface TempC, Surface Humidity, WindDir, WindSp, WindTemp
KMOB , Mobile Regional Airport, AL, 88-14W, 30-41N, 66,  2009 1813+18 1709+13 1009+06 0823-11 0408-22 301137 341047 291058, , , , 7 , 7 , 341
KMOT , Minot International Airport, ND, , , ,       2411+07 3106+01 2911-04 2925-17 2834-30 293945 294352 284758, , , , 5 , 5 , 294
KMQT , Marquette, MI, 087-33W, 46-32N, 434,  3325 3326+02 3223-02 3129-05 3145-18 3157-30 318044 318652 305952, , , , 4 , 4 , 318
KMRF , Marfa, TX, 104-01W, 30-22N, 1478,               1918+15 2415+08 2514-11 2228-21 225138 234947 244658, , , , 8 , 8 , 234
KMSP , Minneapolis-st. Paul International Airport, MN, 93-13W, 44-52N, 256,  3513 3318+06 3028+04 3030-01 2950-15 2960-26 296742 298151 299661, , , , 2 , 2 , 298
KMSY , New Orleans International Airport, LA, 90-15W, 30-00N, 2,  1507 1616+17 1421+13 1223+07 1121-09 0610-21 320637 320647 301558, , , , 7 , 7 , 320
KOKC , Oklahoma City, OK, 97-36W, 35-23N, 395,  2034 1914+20 1616+14 1516+06 2021-09 2120-22 212239 232648 243259, , , , 9 , 9 , 232
KOMA , Omaha, NE, 095-54W, 41-18N, 300,  0609 9900+14 2713+09 2725+04 2735-13 2735-24 285440 276150 275461, , , , 0 , 0 , 276
KONL , O Neill (baker Field), NE, , , ,       9900+13 2513+08 2523+02 2728-14 2727-25 264741 255851 256362, , , , 1 , 1 , 255
KONT , Ontario Intl Arpt, CA, 34.06, -117.6, ,  9900 3406+09 3505+02 9900-04 2511-18 2312-32 231348 261248 311649, 60.0, 70, 70, 8 , 8 , 261
KORF , Norfolk International Airport, VA, 076-12W, 36-54N, 8,  2929 3022+13 3123+07 3123+01 3124-12 3127-24 313839 315448 317059, , , , 9 , 9 , 315
KOTH , North Bend (awos), OR, , , ,  0319 0318+11 0416+06 0116+01 3623-12 3426-24 343040 343351 325062, , , , 0 , 0 , 343
KPDX , Portland Intl Arpt, OR, 122-36W, 45-35N, 8,  3617 0211+11 0209+05 3509+00 3317-13 3122-24 332740 333451 314663, , , , 0 , 0 , 333
KPFN , Panama City-bay County Intl Airport, FL, , , ,  2006 2405+17 9900+12 0411+06 0721-12 0210-22 311937 311747 301358, , , , 7 , 7 , 311
KPHX , Phoenix/sky Harbor, AZ, 112-03-04W, 33-26-03N, 345,  2807 1709+15 1925+07 1933+01 2042-15 2043-27 206243 207051 216257, , , , 3 , 3 , 207
KPIE , St. Petersburg / Clea, FL, , , ,  1208 0810+18 0515+12 0522+05 0415-11 0107-21 341637 322145 302657, , , , 7 , 7 , 322
KPIH , Pocatello Municipal, ID, 112-36W, 42-55N, 1356,       3506    0209+08 0905+01 1527-17 1522-32 193346 182651 123255, , , , 6 , 6 , 182
KPIR , Pierre Regional Airport, SD, , , ,       2408+12 2723+06 2726+00 2834-14 2733-26 274742 256251 257662, , , , 2 , 2 , 256
KPLB , Plattsburgh, NY, , , ,  1206 1908+07 2506-01 2910-07 2913-19 3021-32 303648 304351 294552, , , , 8 , 8 , 304
KPRC , Prescott/love Fld, AZ, , , ,               1821+07 1824-01 1938-17 2050-28 205944 206352 215656, , , , 4 , 4 , 206
KPSB , Scappoose Industrial Apk (1s4), OR, , , ,       2919+10 2925+04 2831-01 2943-14 2952-26 297041 297950 299161, , , , 1 , 1 , 297
KPSX , Palacios Municipal Airport, TX, , , ,  1621 1815+14 1811+12 9900+08 9900-07 9900-20 281636 282147 293656, , , , 6 , 6 , 282
KPUB , Pueblo Memorial(aw), CO, 104-30W, 38-17N, 1440,               1821+12 1818+04 2220-14 2028-24 214140 214950 225360, , , , 0 , 0 , 214
KPWM , Portland International Jetport, ME, 70-18W, 43-39N, 23,  2105 2806+05 3114-02 3321-08 2919-19 2914-33 303248 304251 304251, , , , 8 , 8 , 304
KRAP , Rapid City Regional Airport, SD, 103-03W, 44-03N, 976,       1823+13 2227+08 2316+02 2625-15 2627-26 263942 245452 246162, , , , 2 , 2 , 245
KRBL , Red Bluff Municipal, CA, 40.15, -122.25, 106,  9900 0217+15 0419+07 0420-01 0139-13 0150-25 026441 016751 016661, 69.0, 57, 57, 1 , 1 , 016
KRDM , Redmond (awos), OR, , , ,       0605+11 0607+06 0211+01 0123-14 3628-25 363640 364151 344463, , , , 0 , 0 , 364
KRDU , Raleigh-durham International Airport, NC, 078-46W, 35-54N, 133,  3123 3121+13 3018+06 3015+03 3021-12 3129-23 313938 314347 315359, , , , 8 , 8 , 314
KRIC , Richmond International Airport, VA, 077-19W, 37-31N, 51,  3024 3021+13 3024+07 3024+00 3127-12 2930-24 304740 316049 307159, , , , 0 , 0 , 316
KRKS , Rock Springs, WY, 109-03W, 41-36N, 2060,               1408    1713+03 2026-15 2041-29 204544 204553 204160, , , , 4 , 4 , 204
KRNO , Reno Tahoe International Airport, NV, 119-46W, 39-29N, 1345,       9900    0317+04 0333-03 0240-17 0252-28 028242 028651 015558, , , , 2 , 2 , 028
KROA , Roanoke Regional Airport, VA, 079-58W, 37-19N, 358,  3040 3136+13 3023+08 2917+01 3223-12 3029-23 304739 305848 295859, , , , 9 , 9 , 305
KROW , Roswell/industrial, NM, 104-32W, 33-18N, 1118,       1737    1718+14 2013+06 2229-13 2236-22 213839 224248 224760, , , , 9 , 9 , 224
KSAC , Sacramento/executiv, CA, 38.52, -121.5, 6,  9900 0209+12 0324+05 0335-02 0137-14 0160-26 027341 017952 016760, 65.0, 59, 59, 1 , 1 , 017
KSAN , San Diego/lindbergh, CA, 32.73, -117.17, 5,  9900 3210+09 3206+04 3009-03 2414-18 2419-31 223246 243249 263151, 64.0, 68, 68, 6 , 6 , 243
KSAT , San Antonio International Airport, TX, 098-28W, 29-32N, 247,  1631 1724+14 1818+11 1906+09 2407-08 2210-20 272536 273446 274157, , , , 6 , 6 , 273
KSAV , Savannah International Airport, GA, 81-12W, 32-07N, 16,  2925 3123+18 3124+12 3226+05 3424-11 3121-23 322138 332747 332858, , , , 8 , 8 , 332
KSBA , Santa Barbara Muni, CA, 34.44, -119.83, ,  9900 3609+09 3605+02 3512-04 3629-18 3538-31 366145 367048 365152, 59.0, 72, 72, 5 , 5 , 367
KSEA , Seattle-tacoma Intl Airport, WA, 122-19W, 47-27N, 131,  3105 3314+07 3114+03 3015-02 3019-13 2928-25 302841 313551 304663, , , , 1 , 1 , 313
KSFO , San Francisco Intl Airport, CA, 37.62, -122.37, 3,  3210 0211+12 0423+05 0327-01 3644-13 0157-26 017341 017752 366961, 58.0, 81, 81, 1 , 1 , 017
KSGF , Springfield Regional Airport, MO, 93-23W, 37-14N, 386,  2515 2817+17 2724+15 2823+07 2622-13 2620-23 272839 273248 264060, , , , 9 , 9 , 273
KSHV , Shreveport Regional Airport, LA, 93-50W, 32-27N, 79,  1918 1818+19 1721+14 1619+07 1516-08 2211-21 231839 261948 271359, , , , 9 , 9 , 261
KSIY , Montague/siskiyou, CA, 41.79, -122.47, ,       0511+13 0616+07 0411+00 0128-13 3641-24 015140 015850 365562, 59.0, 56, 56, 0 , 0 , 015
KSLC , Salt Lake City International, UT, 111-58W, 40-47N, 1288,       3407    3511+08 0809+00 1634-18 1737-32 196345 196653 182655, , , , 5 , 5 , 196
KSLN , Salina Municipal Airport, KS, , , ,  1520 1813+17 2414+12 2416+06 2229-13 2229-23 253340 253850 254460, , , , 0 , 0 , 253
KSPI , Springfield, IL, , , ,  3514 3015+13 3020+08 3026+03 2944-14 2942-23 295439 295749 276159, , , , 9 , 9 , 295
KSPS , Wichita Falls, TX, 98-30W, 33-59N, 309,  1831 2028+14 1907+14 1711+06 2219-09 2020-22 212338 222747 233259, , , , 8 , 8 , 222
KSSM , , , , , ,  3322 3320+03 3218-02 3124-06 3032-20 3045-32 305646 305949 294749, , , , 6 , 6 , 305
